number,title,category,phase,priority,labels,dependencies,scope,description,deliverables,acceptance_criteria,status,closed_at,closed_by,closure_evidence,closure_validation
232,Implement publication figure export,Visualization,UX,P1,visualization;ux;p1;codex-ready;implementation,#1;#16,"Deliver a granular, testable increment for Visualization: Implement publication figure export.","Implement or specify `Implement publication figure export` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement publication figure export | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement publication figure export` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | UI state is driven by typed data models rather than ad hoc unstructured objects. | The feature remains accessible from keyboard or scriptable workflow where applicable.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/visualization/ | src/rietveld_next/visualization/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
233,Implement local parallel batch runner,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement local parallel batch runner.","Implement or specify `Implement local parallel batch runner` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement local parallel batch runner | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement local parallel batch runner` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
234,Implement scheduler abstraction,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement scheduler abstraction.","Implement or specify `Implement scheduler abstraction` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement scheduler abstraction | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement scheduler abstraction` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
235,Implement Slurm job-array adapter,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement Slurm job-array adapter.","Implement or specify `Implement Slurm job-array adapter` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement Slurm job-array adapter | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement Slurm job-array adapter` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
236,Implement Slurm result collector,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement Slurm result collector.","Implement or specify `Implement Slurm result collector` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement Slurm result collector | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement Slurm result collector` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
237,Implement Dask adapter skeleton,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement Dask adapter skeleton.","Implement or specify `Implement Dask adapter skeleton` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement Dask adapter skeleton | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement Dask adapter skeleton` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
238,Implement Ray adapter skeleton,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement Ray adapter skeleton.","Implement or specify `Implement Ray adapter skeleton` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement Ray adapter skeleton | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement Ray adapter skeleton` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
239,Implement Kubernetes worker manifest,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement Kubernetes worker manifest.","Implement or specify `Implement Kubernetes worker manifest` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement Kubernetes worker manifest | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement Kubernetes worker manifest` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
240,Implement object storage URI abstraction,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement object storage URI abstraction.","Implement or specify `Implement object storage URI abstraction` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement object storage URI abstraction | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement object storage URI abstraction` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
241,Implement distributed result database writer,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement distributed result database writer.","Implement or specify `Implement distributed result database writer` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement distributed result database writer | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement distributed result database writer` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
242,Implement benchmark cluster smoke test,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement benchmark cluster smoke test.","Implement or specify `Implement benchmark cluster smoke test` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement benchmark cluster smoke test | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement benchmark cluster smoke test` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
243,Implement beamline live-ingest mock,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement beamline live-ingest mock.","Implement or specify `Implement beamline live-ingest mock` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement beamline live-ingest mock | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement beamline live-ingest mock` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
244,Implement real-time status stream,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement real-time status stream.","Implement or specify `Implement real-time status stream` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement real-time status stream | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement real-time status stream` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
245,Implement job cancellation API,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement job cancellation API.","Implement or specify `Implement job cancellation API` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement job cancellation API | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement job cancellation API` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
246,Implement retry and backoff policy,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement retry and backoff policy.","Implement or specify `Implement retry and backoff policy` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement retry and backoff policy | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement retry and backoff policy` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
247,Implement HPC provenance capture,HPC and Cloud,HPC,P2,hpc-and-cloud;hpc;p2;codex-ready;implementation,#1;#196,"Deliver a granular, testable increment for HPC and Cloud: Implement HPC provenance capture.","Implement or specify `Implement HPC provenance capture` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement HPC provenance capture | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement HPC provenance capture` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | The feature can be exercised locally with a mock or dry-run backend. | Job metadata, environment, and result provenance are captured.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/hpc/ | src/rietveld_next/hpc/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
248,Create unit test conventions,Testing and Validation,Quality,P0,testing-and-validation;quality;p0;codex-ready;design,#1,"Deliver a granular, testable increment for Testing and Validation: Create unit test conventions.","Implement or specify `Create unit test conventions` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Create unit test conventions | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Create unit test conventions` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m34_completion_report.md | docs/validation_baseline.md | src/rietveld_next/validation/ | schemas/golden_dataset.schema.json | schemas/validation_report.schema.json,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
249,Create golden dataset format,Testing and Validation,Quality,P0,testing-and-validation;quality;p0;codex-ready;design,#1,"Deliver a granular, testable increment for Testing and Validation: Create golden dataset format.","Implement or specify `Create golden dataset format` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Create golden dataset format | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Create golden dataset format` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m34_completion_report.md | docs/validation_baseline.md | src/rietveld_next/validation/ | schemas/golden_dataset.schema.json | schemas/validation_report.schema.json,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
250,Create synthetic dataset generator tests,Testing and Validation,Quality,P0,testing-and-validation;quality;p0;codex-ready;design,#1,"Deliver a granular, testable increment for Testing and Validation: Create synthetic dataset generator tests.","Implement or specify `Create synthetic dataset generator tests` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Create synthetic dataset generator tests | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Create synthetic dataset generator tests` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m34_completion_report.md | docs/validation_baseline.md | src/rietveld_next/validation/ | schemas/golden_dataset.schema.json | schemas/validation_report.schema.json,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
251,Create scientific validation report template,Testing and Validation,Quality,P0,testing-and-validation;quality;p0;codex-ready;design,#1,"Deliver a granular, testable increment for Testing and Validation: Create scientific validation report template.","Implement or specify `Create scientific validation report template` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Create scientific validation report template | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Create scientific validation report template` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m34_completion_report.md | docs/validation_baseline.md | src/rietveld_next/validation/ | schemas/golden_dataset.schema.json | schemas/validation_report.schema.json,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
252,Add GSAS-II comparison test harness,Testing and Validation,Quality,P0,testing-and-validation;quality;p0;codex-ready;implementation,#1,"Deliver a granular, testable increment for Testing and Validation: Add GSAS-II comparison test harness.","Implement or specify `Add GSAS-II comparison test harness` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Add GSAS-II comparison test harness | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Add GSAS-II comparison test harness` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m34_completion_report.md | docs/validation_baseline.md | src/rietveld_next/validation/ | schemas/golden_dataset.schema.json | schemas/validation_report.schema.json,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
253,Add FullProf comparison placeholder,Testing and Validation,Quality,P0,testing-and-validation;quality;p0;codex-ready;implementation,#1,"Deliver a granular, testable increment for Testing and Validation: Add FullProf comparison placeholder.","Implement or specify `Add FullProf comparison placeholder` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Add FullProf comparison placeholder | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Add FullProf comparison placeholder` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m34_completion_report.md | docs/validation_baseline.md | src/rietveld_next/validation/ | schemas/golden_dataset.schema.json | schemas/validation_report.schema.json,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
254,Add TOPAS comparison placeholder,Testing and Validation,Quality,P0,testing-and-validation;quality;p0;codex-ready;implementation,#1,"Deliver a granular, testable increment for Testing and Validation: Add TOPAS comparison placeholder.","Implement or specify `Add TOPAS comparison placeholder` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Add TOPAS comparison placeholder | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Add TOPAS comparison placeholder` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m34_completion_report.md | docs/validation_baseline.md | src/rietveld_next/validation/ | schemas/golden_dataset.schema.json | schemas/validation_report.schema.json,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
255,Add numerical tolerance policy,Testing and Validation,Quality,P0,testing-and-validation;quality;p0;codex-ready;implementation,#1,"Deliver a granular, testable increment for Testing and Validation: Add numerical tolerance policy.","Implement or specify `Add numerical tolerance policy` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Add numerical tolerance policy | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Add numerical tolerance policy` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m34_completion_report.md | docs/validation_baseline.md | src/rietveld_next/validation/ | schemas/golden_dataset.schema.json | schemas/validation_report.schema.json,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
